rank,name,birthYear,country,estimatedNetWorthUSDBillions,sourceOfWealth,companies,roles,industries,relatedPeople,relationshipTypes,companyRelationships
1,Elon Musk,1971,United States,839,Tesla and SpaceX,Tesla|SpaceX|Starlink|X|xAI|Neuralink|The Boring Company,Founder of SpaceX|CEO of Tesla|Founder of xAI|Owner of X|Co-founder of Neuralink|Founder of The Boring Company,Electric vehicles|Energy storage|Space technology|Satellite internet|Artificial intelligence|Social media|Neurotechnology|Infrastructure,Larry Page|Sergey Brin|Jensen Huang|Jeff Bezos,INVESTED_IN|SUPPLIER_AGREEMENT|COMPETES_WITH,"Google and Fidelity invested about $1 billion in SpaceX in 2015, creating an investment relationship between Alphabet and SpaceX.|Tesla signed a long-term semiconductor supply agreement with Samsung Electronics for next-generation AI chips.|Tesla competes with global automobile manufacturers while also purchasing chips, batteries, displays, and manufacturing equipment from external suppliers."
2,Larry Page,1973,United States,257,Google,Google|Alphabet,Co-founder of Google|Former CEO of Google|Former CEO of Alphabet|Alphabet shareholder,Internet search|Digital advertising|Cloud computing|Artificial intelligence|Autonomous vehicles|Consumer technology,Sergey Brin|Elon Musk|Jensen Huang|Mukesh Ambani,CO_FOUNDED|INVESTED_IN|PARTNERED_WITH|OWNS_STAKE_IN,Larry Page and Sergey Brin are connected through their joint founding of Google and continuing ownership in Alphabet.|Alphabet invested in Elon Musk's SpaceX.|Google Cloud has a long-running technology partnership with NVIDIA.|Google acquired a 7.73 percent stake in Mukesh Ambani's Jio Platforms in 2020.
3,Sergey Brin,1973,United States,237,Google,Google|Alphabet,Co-founder of Google|Former President of Alphabet|Alphabet shareholder,Internet search|Digital advertising|Cloud computing|Artificial intelligence|Autonomous vehicles|Consumer technology,Larry Page|Elon Musk|Jensen Huang|Mukesh Ambani,CO_FOUNDED|INVESTED_IN|PARTNERED_WITH|OWNS_STAKE_IN,Sergey Brin and Larry Page are co-founders of Google.|Alphabet's investment in SpaceX links Brin's main source of wealth to Elon Musk's aerospace company.|Google Cloud's collaboration with NVIDIA connects Alphabet to Jensen Huang's company.|Google's investment in Jio Platforms connects Alphabet to Mukesh Ambani's Reliance group.
4,Jeff Bezos,1964,United States,224,Amazon,Amazon|Amazon Web Services|Blue Origin|The Washington Post,Founder of Amazon|Executive Chair of Amazon|Founder of Blue Origin|Owner of The Washington Post,E-commerce|Cloud computing|Logistics|Digital advertising|Media|Space technology,Jensen Huang|Elon Musk|Rob Walton|Jim Walton|Alice Walton,PARTNERED_WITH|COMPETES_WITH,"AWS and NVIDIA have collaborated since 2010 on GPU-accelerated cloud computing.|AWS offers NVIDIA-based infrastructure for artificial-intelligence training and inference.|Amazon competes with Walmart in retail, with Microsoft and Google in cloud computing, and with other logistics and advertising platforms.|Blue Origin competes with Elon Musk's SpaceX in launch services and space technology."
5,Mark Zuckerberg,1984,United States,222,Facebook,Meta Platforms|Facebook|Instagram|WhatsApp|Messenger|Reality Labs,Co-founder of Facebook|Founder and CEO of Meta Platforms|Controlling shareholder of Meta,Social media|Digital advertising|Artificial intelligence|Virtual reality|Augmented reality|Messaging,Mukesh Ambani|Jensen Huang|Larry Page|Sergey Brin|Zhang Yiming,INVESTED_IN|PARTNERED_WITH|COMPETES_WITH,"Meta invested $5.7 billion in Jio Platforms in 2020 and became its largest minority shareholder at the time.|Meta and NVIDIA announced a long-term infrastructure partnership for AI-optimized data centers in 2026.|Meta competes with Google's YouTube and advertising businesses, ByteDance's TikTok, and other social and digital-advertising platforms."
6,Larry Ellison,1944,United States,190,Oracle,Oracle Corporation,Co-founder of Oracle|Executive Chair of Oracle|Chief Technology Officer of Oracle|Major Oracle shareholder,Enterprise software|Databases|Cloud computing|Artificial intelligence|Healthcare technology,Jensen Huang|Zhang Yiming|Michael Dell|Jeff Yass,PARTNERED_WITH|CLOUD_PROVIDER_TO|OWNS_STAKE_IN,"Oracle and NVIDIA collaborate on accelerated computing, cloud infrastructure, agentic AI, and large-scale AI systems.|Oracle is a managing investor in TikTok USDS Joint Venture and holds a 15 percent stake in that U.S. entity.|TikTok USDS stores protected U.S. user data and its recommendation algorithm in Oracle's secure U.S. cloud environment.|Oracle's TikTok relationship connects Ellison's company to ByteDance founder Zhang Yiming and to Susquehanna investor Jeff Yass."
7,Bernard Arnault And Family,1949,France,171,LVMH,LVMH|Louis Vuitton|Dior|Moet Hennessy|Tiffany & Co.|Sephora|Bulgari|other luxury brands,Chairman and CEO of LVMH|Controlling shareholder of LVMH|Luxury group leader,Luxury goods|Fashion|Leather goods|Wines and spirits|Jewelry|Cosmetics|Retail|Hospitality,Larry Page|Sergey Brin|Francoise Bettencourt Meyers,PARTNERED_WITH|ACQUIRED|COMPETES_WITH,"LVMH has worked with Google Cloud to build a group-wide data and artificial-intelligence foundation.|The LVMH-Google Cloud relationship connects Bernard Arnault's luxury group to Alphabet, the company associated with Larry Page and Sergey Brin.|LVMH owns Tiffany & Co. and numerous other brands through acquisition and subsidiary relationships."
8,Jensen Huang,1963,United States,154,Semiconductors,NVIDIA,Co-founder of NVIDIA|President and CEO of NVIDIA,Semiconductors|Graphics processors|Artificial intelligence|Data centers|Networking|Robotics|High-performance computing,Larry Page|Sergey Brin|Jeff Bezos|Larry Ellison|Michael Dell|Mark Zuckerberg,PARTNERED_WITH|SUPPLIES_TO|TECHNOLOGY_PROVIDER_TO,"NVIDIA partners with AWS, Google Cloud, Oracle, Dell Technologies, Microsoft Azure, Meta, and many other technology companies.|The Dell AI Factory with NVIDIA combines Dell servers and storage with NVIDIA computing and software.|Meta and NVIDIA announced a multi-year strategic AI infrastructure partnership in 2026.|AWS announced plans to add more than one million NVIDIA GPUs across its global cloud regions beginning in 2026.|Oracle and NVIDIA collaborate on cloud AI infrastructure and enterprise AI services."
9,Warren Buffett,1930,United States,149,Berkshire Hathaway,Berkshire Hathaway,Chairman of Berkshire Hathaway|Chief Executive of Berkshire Hathaway|Investor,Insurance|Railroads|Energy|Manufacturing|Retail|Investments|Financial services,,OWNS_SUBSIDIARY|OWNS_STAKE_IN|INVESTED_IN,"Berkshire Hathaway connects to many public companies through equity investments, although those holdings change over time.|Its insurance operations generate capital that can be invested in operating businesses and public securities.|For retrieval accuracy, current Berkshire portfolio positions should be verified from the latest regulatory filing rather than assumed from older reports."
10,Amancio Ortega,1936,Spain,148,Zara,Inditex|Zara|Pontegadea,Co-founder of Inditex|Major Inditex shareholder|Founder of Pontegadea,Fashion retail|Apparel|Logistics|Commercial real estate,Dieter Schwarz,FOUNDED|OWNS_STAKE_IN|COMPETES_WITH,"Inditex owns Zara and several other retail brands through subsidiary and brand relationships.|The company relies on global textile, manufacturing, logistics, property, and technology partners.|Pontegadea invests in commercial real estate and other long-term assets separately from Inditex."
11,Rob Walton And Family,1944,United States,146,Walmart,Walmart|Walton family holdings,Former Chairman of Walmart|Walton family shareholder,Retail|E-commerce|Logistics|Advertising|Financial services,Jim Walton|Alice Walton|Jeff Bezos|Bill Gates|Steve Ballmer,SHARED_FAMILY_OWNERSHIP|PARTNERED_WITH|COMPETES_WITH,"Rob Walton, Jim Walton, and Alice Walton are siblings whose fortunes are tied to the same Walmart ownership base.|Walmart established a strategic cloud and AI partnership with Microsoft.|Walmart competes directly with Amazon in retail, e-commerce, logistics, advertising, and marketplace services."
12,Jim Walton And Family,1948,United States,143,Walmart,Walmart|Arvest Bank,Walton family shareholder|Former Walmart board member|Associated with Arvest Bank,Retail|E-commerce|Banking|Logistics|Advertising,Rob Walton|Alice Walton|Jeff Bezos|Bill Gates|Steve Ballmer,SHARED_FAMILY_OWNERSHIP|PARTNERED_WITH|COMPETES_WITH,Jim Walton shares a common Walmart ownership connection with Rob Walton and Alice Walton.|Walmart's Microsoft partnership links the Walton family's main company to the company historically associated with Bill Gates and Steve Ballmer.|Walmart and Amazon are major competitors in retail and e-commerce.
